DATOS SECTORIALES EN EL SISTEMA SISSH,,,,,
,,,,,
CONFLICTO,,,,,
Cobertura Vivienda SISBEN con Alcantarillado -Cabecera-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de la cabecera registradas en el SISBEN que tienen acceso al servicio de Alcantarillado
Cobertura Vivienda SISBEN con Alcantarillado -Centros Poblados-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de los centros poblados registradas en el SISBEN que tienen acceso al servicio de Alcantarillado
Cobertura Vivienda SISBEN con Alcantarillado -Rural Disperso-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que tienen acceso al servicio de Alcantarillado
Cobertura Vivienda SISBEN con Conexi_n a Gas,Infraestructura y Vivienda,SISBEN,2004-2012,Municipal,Porcentaje de Viviendas registradas en el SISBEN que tienen acceso al servicio de conexi_n a gas
Cobertura Vivienda SISBEN con conexi_n a gas -Cabecera-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de la cabecera registradas en el SISBEN que tienen acceso al servicio de conexi_n a gas
Cobertura Vivienda SISBEN con conexi_n a gas -Centro Poblado-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de los centros poblados registradas en el SISBEN que tienen acceso al servicio de conexi_n a gas
Cobertura Vivienda SISBEN con conexi_n a gas -Rural Disperso-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que tienen acceso al servicio de conexi_n a gas
Cobertura Vivienda SISBEN con Recolecci_n de Basuras,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas registradas en el SISBEN que tienen acceso al servicio de Recolecci_n de basuras
Cobertura Vivienda SISBEN con Servicio de Acueducto,Infraestructura y Vivienda,SISBEN,2004-2012,Municipal,Porcentaje de Viviendas registradas en el SISBEN que tienen acceso al servicio de Acueducto
Cobertura Vivienda SISBEN con servicio de Acueducto -Cabecera Municipal-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de la cabecera registradas en el SISBEN que tienen acceso al servicio de Acueducto
Cobertura Vivienda SISBEN con servicio de Acueducto -Centros Poblados-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de los centros poblados registradas en el SISBEN que tienen acceso al servicio de Acueducto
Cobertura Vivienda SISBEN con servicio de Acueducto -Rural disperso-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que tienen acceso al servicio de Acueducto
Cobertura Vivienda SISBEN con Servicio Energ_a El_ctrica,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas registradas en el SISBEN que tienen acceso al servicio de energ_a el_ctrica
Cobertura Vivienda SISBEN con Servicio Energ_a El_ctrica -Cabecera-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de la cabecera registradas en el SISBEN que tienen acceso al servicio de energ_a el_ctrica
Cobertura Vivienda SISBEN con Servicio Energ_a El_ctrica -Centros Poblados-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de los centros poblados registradas en el SISBEN que tienen acceso al servicio de energ_a el_ctrica
Cobertura Vivienda SISBEN con Servicio Energ_a El_ctrica -Rural Disperso-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que tienen acceso al servicio de Energ_a El_ctrica
Cobertura Vivienda SISBEN con Servicio Telef_nico,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas registradas en el SISBEN que tienen acceso al servicio Telef_nico
Cobertura Vivienda SISBEN con Servicio Telef_nico - Cabecera-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de la cabecera registradas en el SISBEN que tienen acceso al servicio Telef_nico
Cobertura Vivienda SISBEN con Servicio Telef_nico - Centros Poblados-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de los centros poblados registradas en el SISBEN que tienen acceso al servicio Telef_nico
Cobertura Vivienda SISBEN con Servicio Telef_nico - Rural Disperso-,Infraestructura y Vivienda,SISBEN,2007-2012,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que tienen acceso al servicio Telef_nico
Cobertura viviendas de SISBEN con recolecci_n de basuras -Cabecera-,Infraestructura y Vivienda,SISBEN,2012,Municipal,"Porcentaje de Viviendas registradas en el SISBEN de las zonas cabecera, que tienen acceso al servicio de Recolecci_n de basuras"
Cobertura viviendas de SISBEN con recolecci_n de basuras -Centro Poblado-,Infraestructura y Vivienda,SISBEN,2012,Municipal,Porcentaje de Viviendas registradas en el SISBEN de centros poblados que tienen acceso al servicio de Recolecci_n de basuras
Cobertura viviendas de SISBEN con recolecci_n de basuras -Rural Disperso-,Infraestructura y Vivienda,SISBEN,2012,Municipal,"Porcentaje de Viviendas registradas en el SISBEN de las zonas rurales dispersas, que tienen acceso al servicio de Recolecci_n de basuras"
Sin Alcantarillado - Cabecera y Centros poblados,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas de la cabecera y centros poblados registradas en el SISBEN que no tienen acceso al servicio de alcantarillado
Sin Alcantarillado - Rural Disperso,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que no tienen acceso al servicio de alcantarillado
Sin Alcantarillado - Total,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas registradas en el SISBEN que no tienen acceso al servicio de alcantarillado
Sin Conexi_n a Gas - Cabecera y centros poblados,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas de la cabecera y centros poblados registradas en el SISBEN que no tienen acceso al servicio de conexi_n a gas
Sin Conexi_n a Gas - Rural disperso,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que no tienen acceso al servicio de conexi_n a gas
Sin Conexi_n a Gas - Total,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas registradas en el SISBEN que no tienen acceso al servicio de conexi_n a gas
Sin Energ_a El_ctrica - Cabecera y Centros poblados,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas de la cabecera y centros poblados registradas en el SISBEN que no tienen acceso al servicio de energ_a el_ctrica
Sin Energ_a El_ctrica - Rural Disperso,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que no tienen acceso al servicio de Energ_a El_ctrica.
Sin Energ_a El_ctrica - Total,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas registradas en el SISBEN que no tienen acceso al servicio de Energ_a El_ctrica.
Sin servicio de Acueducto - Cabecera y centros poblados,Infraestructura y Vivienda,SISBEN,2004,Municipal,Porcentaje de Viviendas de la cabecera y centros poblados registradas en el SISBEN que no tienen acceso al servicio de acueducto
Sin servicio de acueducto - Rural disperso,Infraestructura y Vivienda,SISBEN,2004,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que no tienen acceso al servicio de acueducto
Sin servicio de acueducto - Total,Infraestructura y Vivienda,SISBEN,2004,Municipal,Porcentaje de Viviendas registradas en el SISBEN que no tienen acceso al servicio de acueducto
Sin Servicio de recolecci_n de basuras - Cabecera y centros poblados,Infraestructura y Vivienda,SISBEN,2004,Municipal,Porcentaje de Viviendas de la cabecera y centros poblados registradas en el SISBEN que no tienen acceso al servicio de recolecci_n de basuras
Sin servicio de Recolecci_n de Basuras - Rural disperso,Infraestructura y Vivienda,SISBEN,2004,Municipal,Porcentaje de Viviendas de las zonas rurales registradas en el SISBEN que no tienen acceso al servicio derecolecci_n de basuras
Sin servicio de Recolecci_n de Basuras - Total,Infraestructura y Vivienda,SISBEN,2004,Municipal,Porcentaje de Viviendas registradas en el SISBEN que no tienen acceso al servicio de recoleci_n de basuras
Sin servicio telef_nico - Cabecera y centros poblados,Infraestructura y Vivienda,SISBEN,2004,Municipal,
Sin servicio telef_nico - Rural disperso,Infraestructura y Vivienda,SISBEN,2004,Municipal,
Sin servicio telef_nico - Total,Infraestructura y Vivienda,SISBEN,2004,Municipal,
Tasa de Acceso a Servicio de Recolecci_n de Basuras,Infraestructura y Vivienda,SISBEN,2005,Municipal,
Viviendas con material inadecuado en paredes -Cabecera y centro poblado,Infraestructura y Vivienda,SISBEN,2004,Municipal,"Porcentaje de Viviendas de la cabecera y centros poblados que cuentan con material inadecuado en sus paredes (Sin paredes,Zinc, tela, cart_n, latas, desechos, pl_sticos )"
Viviendas con material inadecuado en paredes -Rural Disperso,Infraestructura y Vivienda,SISBEN,2004,Municipal,"Porcentaje de Viviendas de las zonas rurales que cuentan con material inadecuado en sus paredes (Sin paredes,Zinc, tela, cart_n, latas, desechos, pl_sticos )"
Viviendas con material inadecuado en paredes -Total,Infraestructura y Vivienda,SISBEN,2004,Municipal,"Porcentaje de Viviendas que cuentan con material inadecuado en sus paredes (Sin paredes,Zinc, tela, cart_n, latas, desechos, pl_sticos )"
Viviendas con material inadecuado en piso - Rural Disperso,Infraestructura y Vivienda,SISBEN,2004,Municipal,"Porcentaje de Viviendas de las zonas rurales que cuentan con material inadecuado en sus pisos ( Tierra, arena)"
Viviendas con material inadecuado en piso - Total,Infraestructura y Vivienda,SISBEN,2004,Municipal,"Porcentaje de Viviendas que cuentan con material inadecuado en sus pisos ( Tierra, arena)"
Viviendas con material inadecuado en piso -Cabecera y centro poblado,Infraestructura y Vivienda,SISBEN,2004,Municipal,"Porcentaje de Viviendas de la cabecera y centros poblados que cuentan con material inadecuado en sus pisos ( Tierra, arena)"
Viviendas con Servicio de Acueducto,Infraestructura y Vivienda,DANE,2005,Municipal,N_mero de Viviendas que tienen acceso al sevicio de acueducto
Viviendas con Servicio de Alcantarillado,Infraestructura y Vivienda,DANE,2005,Municipal,N_mero de Viviendas que tienen acceso al sevicio de alcantarillado
Viviendas con servicio de Energ_a El_ctrica,Infraestructura y Vivienda,DANE,2005,Municipal,N_mero de Viviendas que tienen acceso al sevicio de energ_a el_ctrica
Viviendas con Servicio de Tel_fono,Infraestructura y Vivienda,DANE,2005,Municipal,N_mero de Viviendas que tienen acceso al sevicio telef_nico
